1969,Lotus-Ford,2,11,18.18,4
1958,Ferrari,2,11,18.18,4
1958,Cooper,2,11,18.18,4
2022,Ferrari,4,22,18.18,3
1997,McLaren,3,17,17.65,4
1977,Wolf,3,17,17.65,6
1977,McLaren,3,17,17.65,6
2013,Mercedes,3,19,15.79,4
2014,Red Bull,3,19,15.79,2
2015,Ferrari,3,19,15.79,2
2017,Red Bull,3,20,15.00,3
2012,Ferrari,3,20,15.00,6
2019,Ferrari,3,21,14.29,3
2019,Red Bull,3,21,14.29,3
1980,Ligier,2,14,14.29,4
1975,Brabham,2,14,14.29,6
1955,Ferrari,1,7,14.29,3
1955,Kurtis Kraft,1,7,14.29,3
1950,Kurtis Kraft,1,7,14.29,2
1981,Ferrari,2,15,13.33,6
1981,Ligier,2,15,13.33,6
1974,Tyrrell,2,15,13.33,5
1978,Brabham,2,16,12.50,4
1982,Brabham,2,16,12.50,7
1985,Ferrari,2,16,12.50,5
1984,Brabham,2,16,12.50,4
1952,Kuzma,1,8,12.50,2
1999,Jordan,2,16,12.50,4
2003,McLaren,2,16,12.50,5
1989,Williams,2,16,12.50,4
1990,Benetton,2,16,12.50,4
1987,Team Lotus,2,16,12.50,4
1987,Ferrari,2,16,12.50,4
1986,Team Lotus,2,16,12.50,4
1990,Williams,2,16,12.50,4
2020,Red Bull,2,17,11.76,4
2009,McLaren,2,17,11.76,4
2008,Renault,2,18,11.11,5
1953,Kurtis Kraft,1,9,11.11,3
1953,Maserati,1,9,11.11,3
1951,Kurtis Kraft,1,9,11.11,3
1954,Kurtis Kraft,1,9,11.11,4
1956,Watson,1,9,11.11,3
1957,Epperly,1,9,11.11,3
1959,BRM,1,9,11.11,4
1959,Watson,1,9,11.11,4
1966,Lotus-BRM,1,9,11.11,5
1962,Porsche,1,9,11.11,4
1962,Cooper-Climax,1,9,11.11,4
1966,BRM,1,9,11.11,5
1966,Cooper-Maserati,1,9,11.11,5
2013,Ferrari,2,19,10.53,4
1965,Honda,1,10,10.00,3
1963,Ferrari,1,10,10.00,3
1960,Ferrari,1,10,10.00,4
1960,Watson,1,10,10.00,4
2016,Red Bull,2,21,9.52,2
1958,Epperly,1,11,9.09,4
